churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
C-6166e4,A-00bed1,2024-02-29,pricing,0.0,False,True,False,too expensive
C-264dd0,A-016043,2024-08-18,pricing,0.0,False,False,False,too expensive
C-9a67c6,A-016043,2024-10-02,pricing,0.0,True,True,False,
C-e8ab82,A-019782,2023-05-05,support,0.0,False,True,False,missing features
C-637933,A-019782,2023-05-20,support,0.0,False,True,False,missing features
C-858068,A-02cd81,2024-06-19,features,0.0,False,False,False,missing features
C-1e9ef2,A-02fac6,2024-01-05,budget,0.0,False,True,False,too expensive
C-f330fb,A-054577,2024-10-28,features,0.0,False,False,False,missing features
C-c4a0a9,A-054577,2024-10-29,unknown,0.0,False,True,False,
C-5ba720,A-054577,2024-11-06,features,0.0,False,False,True,missing features
C-ced8b8,A-05d3b3,2023-07-31,features,147.32,False,True,False,
C-a986ac,A-05d3b3,2024-05-22,unknown,0.0,False,False,True,
C-a0b1b2,A-0e966d,2024-07-11,competitor,39.3,False,False,False,switched to competitor
C-d42502,A-0e966d,2024-09-19,pricing,83.27,False,False,False,too expensive
C-945c16,A-0e966d,2024-10-03,features,0.0,False,False,True,missing features
C-08f1d8,A-0f3e88,2024-08-27,support,27.76,False,True,False,missing features
C-f44a46,A-0f7d77,2024-11-12,support,101.38,False,True,False,missing features
C-a51692,A-10b8da,2024-07-21,pricing,38.54,True,False,False,
C-b17ee3,A-10b8f2,2024-05-23,features,0.0,False,False,False,missing features
C-f114d6,A-118f1c,2024-11-15,competitor,0.0,False,False,False,switched to competitor
C-3dd8b2,A-151c9a,2023-04-02,pricing,0.0,True,False,False,too expensive
C-3d7873,A-151c9a,2023-05-31,features,0.0,False,False,False,missing features
C-dca5af,A-151c9a,2023-09-13,features,0.0,False,False,True,missing features
C-48bf03,A-157070,2023-12-05,pricing,0.0,False,False,False,too expensive
C-447d0d,A-157070,2024-10-15,budget,0.0,False,False,True,too expensive
C-497c20,A-1986ca,2023-05-02,pricing,73.99,False,False,False,
C-84b19f,A-1986ca,2024-06-08,budget,53.85,False,False,False,too expensive
C-809c11,A-1b9609,2024-02-01,support,43.25,False,True,False,
C-517e6a,A-1e50e0,2024-03-29,features,0.0,False,False,False,missing features
C-9e3911,A-1f7acb,2024-05-31,features,0.0,False,False,False,missing features
C-caecad,A-22f2df,2024-12-29,features,0.0,True,False,False,
C-71acf5,A-271f46,2024-01-30,features,26.75,False,False,False,missing features
C-3528ac,A-296d7c,2024-01-29,features,0.0,False,False,False,missing features
C-f1343d,A-296d7c,2024-10-03,pricing,0.0,False,True,False,
C-fae08c,A-32728c,2024-02-27,support,62.74,False,False,False,missing features
C-58acc5,A-331424,2023-11-26,support,0.0,True,False,False,
C-f07907,A-331424,2024-05-01,support,88.82,False,False,False,missing features
C-99143a,A-331424,2024-05-21,budget,0.0,True,True,False,too expensive
C-59bc2e,A-331424,2024-07-09,budget,133.17,False,True,False,too expensive
C-2003d3,A-331424,2024-09-22,pricing,88.8,False,False,False,too expensive
C-3c2c7f,A-34d880,2024-07-27,support,0.0,False,False,False,missing features
C-ae7a6d,A-378b99,2024-10-30,features,76.02,False,False,False,missing features
C-c0a2d1,A-37f969,2024-01-18,unknown,0.0,True,True,False,
C-f263d6,A-37f969,2024-04-05,support,57.65,False,False,True,missing features
C-cf94d4,A-3932db,2024-06-18,unknown,0.0,False,False,False,
C-99ced2,A-3b37d9,2023-10-18,features,0.0,False,False,False,missing features
C-1350dd,A-3b5cd1,2024-02-23,support,61.01,False,False,False,missing features
C-6dccc9,A-3b5cd1,2024-03-25,budget,0.0,False,False,True,too expensive
C-22b175,A-3cc791,2024-08-09,pricing,0.0,False,False,False,
C-271c11,A-40906c,2024-09-11,features,0.0,True,False,False,missing features
C-63b07f,A-417d2f,2024-10-16,features,0.0,False,False,False,
C-66981c,A-439b2f,2024-09-18,features,76.32,False,True,False,
C-55a9b3,A-43a9e3,2023-08-30,support,0.0,False,False,False,
C-a4cc9f,A-43a9e3,2023-09-11,features,0.0,False,False,True,missing features
C-68ee0b,A-4437e4,2024-01-26,support,0.0,False,False,False,
C-7dd0b5,A-45ce7a,2023-12-14,pricing,0.0,False,False,False,too expensive
C-1d4be7,A-484819,2023-04-04,support,0.0,False,True,False,missing features
C-156ef9,A-484819,2023-05-07,features,0.0,True,False,False,missing features
C-16ca98,A-49b828,2023-09-29,pricing,0.0,False,False,False,too expensive
C-151cc4,A-49b828,2023-10-19,competitor,17.01,False,False,False,switched to competitor
C-45e7c7,A-49b828,2024-02-06,support,24.33,False,False,True,
C-f61b23,A-4e631b,2024-06-03,features,0.0,False,False,False,missing features
C-2ef99a,A-4e631b,2024-08-13,features,0.0,True,True,False,missing features
C-7c3c35,A-4e960a,2024-10-12,support,0.0,False,False,False,missing features
C-4de5be,A-4f18f0,2024-08-30,features,0.0,False,True,False,missing features
