usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
U-fc8570,S-78eb6b,2024-12-13,feature_6,5,5250,1,False
U-d02598,S-78eb6b,2024-12-20,feature_26,15,1065,0,False
U-be944f,S-78eb6b,2024-12-30,feature_13,15,4257,1,True
U-5e230e,S-78eb6b,2024-12-09,feature_6,19,6315,0,False
U-a92d93,S-78eb6b,2024-12-13,feature_26,3,2402,1,False
U-2290b0,S-78eb6b,2024-12-23,feature_1,11,4895,0,False
U-bfb71e,S-78eb6b,2024-12-21,feature_31,6,664,0,False
U-16fafa,S-78eb6b,2024-12-30,feature_11,10,6569,1,True
U-cd8ff0,S-78eb6b,2024-12-07,feature_36,7,792,0,False
U-1992af,S-78eb6b,2024-12-28,feature_39,5,2462,0,False
U-754da0,S-78eb6b,2024-12-18,feature_7,11,1613,0,False
U-f9b273,S-78eb6b,2024-12-12,feature_36,15,1671,0,False
U-9e81c1,S-78eb6b,2024-12-19,feature_32,12,1601,0,False
U-50dc8f,S-78eb6b,2024-12-16,feature_33,6,1425,0,False
U-ac1072,S-78eb6b,2024-12-11,feature_37,11,2073,1,False
U-a42ef9,S-78eb6b,2024-12-12,feature_6,11,2461,0,False
U-7289ca,S-78eb6b,2024-12-13,feature_31,7,1658,0,False
U-2d15d9,S-78eb6b,2024-12-20,feature_7,12,2273,1,False
U-aa37ef,S-6fdd88,2024-12-28,feature_38,9,1137,0,False
U-0f64e1,S-6fdd88,2024-11-09,feature_40,13,5817,0,False
U-0b995f,S-6fdd88,2024-11-17,feature_38,12,1839,1,False
U-c1c43c,S-6fdd88,2024-12-11,feature_32,12,2938,0,False
U-25e6f1,S-6fdd88,2024-11-24,feature_7,14,1471,0,False
U-31a172,S-6fdd88,2024-12-05,feature_40,11,424,0,False
U-a5aa69,S-6fdd88,2024-12-29,feature_34,15,521,0,False
U-0341af,S-6fdd88,2024-12-07,feature_38,12,4508,0,False
U-2c24f9,S-6fdd88,2024-10-27,feature_8,10,2242,0,False
U-64f544,S-6fdd88,2024-10-31,feature_26,12,1549,1,True
U-cc477b,S-6fdd88,2024-12-21,feature_39,8,4543,0,True
U-29b898,S-6fdd88,2024-10-19,feature_11,9,640,0,False
U-128d10,S-6fdd88,2024-11-23,feature_28,8,2083,0,False
U-541c13,S-6fdd88,2024-12-23,feature_36,7,3965,0,False
U-e7401c,S-6fdd88,2024-12-13,feature_11,14,2856,1,False
U-268ca5,S-6fdd88,2024-10-24,feature_39,5,1628,0,False
U-0200fc,S-6fdd88,2024-12-11,feature_21,14,2719,1,False
U-3ed3c8,S-1a1827,2024-12-06,feature_37,16,1340,0,False
U-bb3a4a,S-1a1827,2024-12-02,feature_6,6,1157,0,False
U-40a7b6,S-1a1827,2024-12-14,feature_11,7,1157,1,False
U-c6f76d,S-1a1827,2024-11-27,feature_7,9,4610,0,False
U-dd9767,S-1a1827,2024-12-24,feature_6,13,2413,0,False
U-795438,S-1a1827,2024-11-29,feature_1,9,3455,1,True
U-604b6c,S-1a1827,2024-11-30,feature_36,8,917,1,False
U-64aa65,S-1a1827,2024-11-26,feature_37,15,4361,0,False
U-020e3e,S-1a1827,2024-12-08,feature_26,15,1026,0,False
U-bdd508,S-1a1827,2024-12-22,feature_39,9,691,1,False
U-98f56d,S-1a1827,2024-12-27,feature_34,10,2438,1,False
U-789afb,S-1a1827,2024-12-10,feature_33,8,3710,0,False
U-509dc9,S-1a1827,2024-12-02,feature_26,11,1182,1,False
U-925e22,S-1a1827,2024-12-20,feature_14,14,1112,1,False
U-91b98a,S-1a1827,2024-12-19,feature_15,5,6348,1,False
U-f205ac,S-1a1827,2024-12-19,feature_1,9,2676,0,False
U-728371,S-1a1827,2024-12-10,feature_34,10,1326,0,False
U-81d968,S-1a1827,2024-12-14,feature_14,10,1566,0,True
U-c7b033,S-1a1827,2024-11-26,feature_31,11,789,1,False
U-dc366f,S-1a1827,2024-12-03,feature_40,9,2122,0,False
U-acfc32,S-c49442,2024-11-30,feature_33,14,716,1,False
U-c9b11b,S-c49442,2024-12-20,feature_6,10,1297,0,False
U-fea1a4,S-c49442,2024-12-19,feature_28,11,3146,0,False
U-f28fa9,S-c49442,2024-11-09,feature_34,12,3088,0,False
U-de8138,S-c49442,2024-11-21,feature_38,9,2506,1,False
U-72b389,S-c49442,2024-11-30,feature_33,17,2366,2,False
U-1bd566,S-c49442,2024-11-23,feature_31,5,2301,0,False
U-a02859,S-c49442,2024-11-22,feature_26,11,7707,1,False
U-aae590,S-c49442,2024-11-24,feature_28,8,985,0,False
U-d28327,S-c49442,2024-11-12,feature_15,14,2470,3,False
U-f8ee4d,S-c49442,2024-11-10,feature_8,16,3499,0,False
U-328cdf,S-c49442,2024-11-18,feature_32,8,3690,0,True
U-7a068e,S-c49442,2024-11-07,feature_7,9,4174,0,False
U-838fd7,S-c49442,2024-12-03,feature_1,9,1123,0,False
U-116b56,S-c49442,2024-11-12,feature_13,14,5391,1,False
U-c7c642,S-c49442,2024-11-07,feature_36,14,3253,1,False
U-4b7b23,S-c49442,2024-12-21,feature_39,5,4816,1,False
U-637c06,S-c49442,2024-12-07,feature_13,3,5398,0,False
U-bf4e83,S-c49442,2024-12-25,feature_34,11,4538,0,False
U-a62446,S-c49442,2024-12-30,feature_33,11,1806,2,False
U-853d2a,S-c49442,2024-12-07,feature_7,14,2491,3,False
U-4f3cb8,S-251eb3,2024-11-19,feature_1,12,3557,0,False
U-408291,S-251eb3,2024-12-01,feature_8,11,6681,0,False
U-dbd459,S-251eb3,2024-12-12,feature_32,6,1744,3,False
U-d28e39,S-251eb3,2024-12-04,feature_8,17,2557,0,False
U-6d3c60,S-251eb3,2024-11-10,feature_34,11,948,2,False
U-a711b5,S-251eb3,2024-12-03,feature_28,8,2301,0,False
U-f5a068,S-251eb3,2024-12-21,feature_33,8,1193,1,True
U-d0fd95,S-251eb3,2024-11-19,feature_14,3,3273,0,False
U-ef3b98,S-251eb3,2024-12-11,feature_14,15,1399,0,False
U-3e78ac,S-251eb3,2024-11-21,feature_40,12,1628,0,False
U-5a547f,S-251eb3,2024-12-07,feature_32,12,2797,1,False
U-05e0e6,S-251eb3,2024-12-14,feature_13,9,1493,0,False
U-a9a92b,S-251eb3,2024-11-18,feature_14,8,2133,0,False
U-101827,S-251eb3,2024-12-16,feature_6,11,2781,1,False
U-0be42f,S-251eb3,2024-12-13,feature_40,12,2775,0,True
U-0d7bb3,S-251eb3,2024-11-23,feature_13,13,3487,1,False
U-be4bf1,S-251eb3,2024-12-25,feature_1,8,3804,0,False
U-af51f6,S-251eb3,2024-12-19,feature_21,9,2030,0,False
U-4c0e1d,S-251eb3,2024-12-05,feature_36,8,1171,1,False
U-73db02,S-251eb3,2024-11-11,feature_37,11,3027,1,False
U-5bf0d0,S-251eb3,2024-11-30,feature_31,7,488,0,False
U-f15552,S-251eb3,2024-11-24,feature_14,9,3697,1,False
U-2efee3,S-251eb3,2024-11-21,feature_36,7,1089,0,True
U-244cf5,S-e58bc0,2024-06-28,feature_21,8,1763,2,False
U-30e0d2,S-e58bc0,2024-06-27,feature_6,10,2660,1,False
U-b56bfe,S-e58bc0,2024-03-23,feature_37,9,2982,1,False
U-6dc737,S-e58bc0,2024-05-25,feature_23,5,3947,1,False
U-be3c0a,S-e58bc0,2024-04-22,feature_30,11,3325,1,True
U-61abac,S-e58bc0,2024-05-22,feature_6,12,1558,0,False
U-b980d7,S-e58bc0,2024-10-28,feature_21,3,646,1,False
U-979db1,S-e58bc0,2024-09-03,feature_23,15,3095,0,False
U-c4331b,S-e58bc0,2024-03-07,feature_21,7,1982,1,False
U-fa8c53,S-459d77,2024-12-12,feature_21,11,3401,0,False
U-cb30b9,S-459d77,2024-11-29,feature_13,15,3288,0,False
U-9bc5b2,S-459d77,2024-11-10,feature_38,6,2258,0,False
U-9b5c52,S-459d77,2024-11-18,feature_19,12,1085,0,False
U-36dee4,S-459d77,2024-11-02,feature_33,12,1611,1,False
U-a55e97,S-459d77,2024-12-09,feature_21,10,2337,0,False
U-5ded85,S-459d77,2024-12-21,feature_19,12,2440,0,False
U-4886a1,S-459d77,2024-12-30,feature_21,5,5116,0,False
U-595305,S-459d77,2024-11-18,feature_4,10,1290,0,False
U-292184,S-459d77,2024-11-27,feature_36,13,3194,0,False
U-0125f8,S-459d77,2024-10-28,feature_19,13,1779,1,False
U-a16e46,S-459d77,2024-09-17,feature_4,15,2986,0,False
U-973865,S-459d77,2024-11-29,feature_38,13,3543,0,False
U-d6a9ea,S-459d77,2024-12-24,feature_18,10,595,0,False
U-9f74d1,S-459d77,2024-12-16,feature_20,5,2123,0,False
U-82f313,S-459d77,2024-12-18,feature_4,8,1101,0,True
U-8ebd8a,S-459d77,2024-10-29,feature_3,10,4621,0,False
U-be5409,S-459d77,2024-11-30,feature_3,13,8349,0,False
U-22171a,S-459d77,2024-11-23,feature_2,10,4096,0,False
U-ce4f77,S-459d77,2024-11-12,feature_26,9,1481,0,False
U-e6590b,S-459d77,2024-10-02,feature_4,14,4330,0,False
U-e7c95f,S-459d77,2024-11-16,feature_20,11,765,0,False
U-1c2219,S-459d77,2024-10-18,feature_3,6,5991,1,False
U-1b8b13,S-459d77,2024-11-29,feature_26,17,1425,2,False
U-6632f4,S-459d77,2024-12-25,feature_19,12,1009,0,False
U-76e8fe,S-459d77,2024-12-02,feature_18,13,2600,1,False
U-5834ec,S-459d77,2024-10-14,feature_36,11,6970,0,False
U-8fd1fa,S-459d77,2024-11-04,feature_13,7,2857,2,False
U-c86e84,S-459d77,2024-11-15,feature_38,6,2023,0,False
U-8bebb3,S-459d77,2024-12-02,feature_19,12,2908,0,False
U-af494c,S-459d77,2024-10-02,feature_3,11,790,2,False
U-a53295,S-459d77,2024-11-11,feature_8,8,1622,0,False
U-8f34ae,S-459d77,2024-12-16,feature_3,6,5660,0,False
U-e909a2,S-459d77,2024-09-19,feature_22,5,1588,0,False
U-b046fd,S-459d77,2024-12-02,feature_19,14,1151,0,False
U-0d0396,S-459d77,2024-12-18,feature_13,13,4633,0,False
U-df7b64,S-459d77,2024-12-09,feature_19,10,6301,0,False
U-a97892,S-459d77,2024-12-23,feature_4,14,2264,0,False
U-bc4097,S-459d77,2024-12-08,feature_33,12,3329,0,False
U-023635,S-187ad9,2024-12-10,feature_20,6,3662,0,False
U-8b62bc,S-187ad9,2024-11-26,feature_22,12,7325,1,False
U-faf240,S-187ad9,2024-10-14,feature_26,12,3038,0,False
U-351ade,S-187ad9,2024-11-22,feature_33,14,812,0,False
U-acccc5,S-187ad9,2024-12-10,feature_38,8,485,1,False
U-f220ad,S-187ad9,2024-10-31,feature_2,13,2735,1,False
U-fd3f9d,S-187ad9,2024-12-02,feature_21,11,2674,0,False
U-4740af,S-187ad9,2024-12-17,feature_18,12,6745,0,False
U-979f23,S-187ad9,2024-10-15,feature_36,14,4022,0,False
U-821ba5,S-187ad9,2024-11-26,feature_4,9,3084,0,False
