subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S-78eb6b,A-2e4581,2024-12-07,,Basic,20,757,9084,False,False,False,False,annual,False
S-6fdd88,A-2e4581,2024-10-16,,Basic,22,777,9324,False,False,False,False,annual,True
S-1a1827,A-2e4581,2024-11-24,,Pro,11,1022,12264,False,False,False,False,annual,True
S-c49442,A-2e4581,2024-11-04,,Enterprise,12,2232,26784,False,False,False,False,monthly,True
S-251eb3,A-2e4581,2024-11-07,,Basic,20,0,0,True,False,False,False,annual,True
S-e58bc0,A-43a9e3,2023-11-12,,Enterprise,32,6071,72852,False,False,False,False,monthly,False
S-459d77,A-0a282f,2024-09-17,,Pro,21,0,0,True,False,False,False,monthly,True
S-187ad9,A-0a282f,2024-10-10,,Pro,42,0,0,True,False,False,False,monthly,True
S-0d77d9,A-1f0ac7,2023-09-25,,Basic,15,713,8556,False,False,False,False,annual,True
S-ce7f2d,A-1f0ac7,2024-02-10,,Basic,13,607,7284,False,False,False,False,monthly,True
S-d1204f,A-ce550d,2024-10-31,,Enterprise,24,4075,48900,False,False,True,False,monthly,False
S-1075a9,A-ce550d,2024-11-14,,Pro,26,1530,18360,False,False,False,False,annual,True
S-d670f3,A-ce550d,2024-11-13,,Enterprise,23,2881,34572,False,False,False,False,monthly,True
S-9e9a2b,A-ce550d,2024-10-30,,Basic,14,613,7356,False,False,False,False,annual,True
S-3b97bb,A-1b9609,2023-10-28,2024-01-24,Basic,25,1086,13032,False,False,False,True,monthly,False
S-367250,A-1b9609,2023-10-20,,Pro,11,759,9108,False,False,True,False,monthly,True
S-733d21,A-1b9609,2023-11-02,,Pro,9,550,6600,False,False,True,False,monthly,False
S-50dfcc,A-a0ca4e,2024-04-25,2024-06-25,Basic,23,1028,12336,False,False,False,True,annual,True
S-18147a,A-e5d6ab,2023-05-11,,Pro,10,703,8436,False,False,False,False,annual,True
S-44d374,A-e5d6ab,2023-09-19,,Enterprise,80,11851,142212,False,False,False,False,annual,True
S-d812ff,A-7dacce,2024-10-27,,Enterprise,7,0,0,True,False,False,False,monthly,True
S-c1baf7,A-7dacce,2024-10-24,,Pro,17,1055,12660,False,False,False,False,monthly,True
S-7a2b73,A-7dacce,2024-11-24,,Pro,18,1112,13344,False,False,False,False,annual,True
S-d4d476,A-10b8da,2023-07-12,,Pro,17,1101,13212,False,False,False,False,monthly,False
S-b23337,A-592832,2024-09-25,,Basic,10,287,3444,False,False,False,False,annual,True
S-9d6621,A-592832,2024-10-01,,Pro,56,5191,62292,False,False,False,False,monthly,True
S-ca878d,A-592832,2024-10-08,,Basic,26,934,11208,False,False,False,False,monthly,True
S-3731bb,A-592832,2024-11-03,,Basic,19,800,9600,False,False,False,False,monthly,True
S-d029cf,A-d40bf7,2024-11-12,,Pro,31,2830,33960,False,False,False,False,monthly,True
S-ced59a,A-d40bf7,2024-11-11,,Basic,32,1511,18132,False,False,False,False,monthly,True
S-5ec87c,A-d40bf7,2024-11-21,,Basic,66,2651,31812,False,False,False,False,annual,True
S-336276,A-6c093d,2023-10-28,,Basic,13,468,5616,False,False,False,False,monthly,True
S-87e46b,A-6c093d,2023-07-01,,Basic,2,81,972,False,False,True,False,annual,False
S-4af633,A-462d45,2024-01-31,,Pro,49,4094,49128,False,False,False,False,monthly,True
S-04d4ff,A-462d45,2024-02-25,,Basic,33,1059,12708,False,False,False,False,annual,False
S-af6f81,A-956988,2024-12-04,,Basic,19,558,6696,False,False,False,False,monthly,False
