ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-88117f,A-44dc83,2024-06-27 13:44:00,2024-06-28 11:37:33,21.9,medium,62,,False
T-6879a3,A-44dc83,2024-06-25 10:43:00,2024-06-26 09:04:16,22.4,high,30,5.0,False
T-2f6491,A-44dc83,2024-11-18 15:21:00,2024-11-19 13:48:28,22.5,low,43,5.0,False
T-27382e,A-6dee43,2024-09-21 09:03:00,2024-09-22 13:29:13,28.4,low,147,2.0,False
T-963773,A-6dee43,2024-09-19 08:41:00,2024-09-20 07:59:47,23.3,medium,86,4.0,False
T-a3693d,A-ce66f8,2024-11-28 16:26:00,2024-11-30 08:18:11,39.9,low,58,3.0,False
T-27cc91,A-ce66f8,2024-12-29 16:16:00,2024-12-30 22:31:56,30.3,high,140,3.0,False
T-6c7a32,A-ce66f8,2024-10-03 11:33:00,2024-10-05 22:34:16,59.0,urgent,148,,False
T-c4404e,A-ce66f8,2023-12-03 09:11:00,2023-12-04 15:17:29,30.1,urgent,180,,False
T-72f769,A-ce66f8,2024-10-23 19:20:00,2024-10-26 10:54:00,63.6,urgent,104,2.0,True
T-245740,A-ce66f8,2024-04-07 15:19:00,2024-04-08 16:05:50,24.8,urgent,128,,False
T-b56945,A-ce66f8,2024-06-13 13:23:00,2024-06-16 13:23:00,72.0,urgent,107,3.0,False
T-27cfa7,A-503d5a,2024-04-21 17:08:00,2024-04-23 06:12:39,37.1,high,81,2.0,False
T-efc62b,A-503d5a,2024-04-21 20:48:00,2024-04-23 07:56:20,35.1,medium,69,,True
T-cae9fa,A-503d5a,2024-04-12 09:04:00,2024-04-14 20:06:27,59.0,medium,96,4.0,False
T-8bfb68,A-503d5a,2024-05-25 14:31:00,2024-05-27 00:36:07,34.1,urgent,10,,False
T-32c8a2,A-503d5a,2024-01-31 09:51:00,2024-02-01 05:58:23,20.1,high,180,,False
T-96864a,A-503d5a,2024-11-02 16:37:00,2024-11-04 19:09:16,50.5,medium,68,,False
T-3320aa,A-503d5a,2024-05-25 19:46:00,2024-05-28 09:10:29,61.4,low,91,2.0,True
T-d9e222,A-503d5a,2024-07-29 18:21:00,2024-07-30 12:59:52,18.6,high,51,,False
T-a066a8,A-f51f16,2024-12-03 18:08:00,2024-12-04 05:40:31,11.5,low,37,,False
T-ceae35,A-f51f16,2024-01-09 18:34:00,2024-01-10 18:51:49,24.3,urgent,80,4.0,False
T-aa493c,A-f51f16,2024-03-08 17:50:00,2024-03-10 14:02:31,44.2,high,32,,False
T-b595b2,A-ae052e,2024-09-15 07:13:00,2024-09-16 05:37:54,22.4,medium,63,,False
T-e45e20,A-ae052e,2024-05-15 11:45:00,2024-05-16 11:47:26,24.0,urgent,94,4.0,False
T-430c11,A-5a215a,2024-02-08 07:47:00,2024-02-09 09:31:18,25.7,urgent,27,4.0,False
T-fdc27d,A-5a215a,2024-06-18 18:26:00,2024-06-21 03:08:38,56.7,high,71,,False
T-e047b0,A-5a215a,2024-04-03 10:33:00,2024-04-04 21:40:07,35.1,urgent,21,,False
T-7d566d,A-5a215a,2024-09-03 17:14:00,2024-09-04 14:02:29,20.8,low,154,,False
T-dd5fdf,A-5a215a,2024-08-09 20:10:00,2024-08-11 02:41:25,30.5,high,117,2.0,False
T-73f098,A-5a215a,2024-11-18 17:10:00,2024-11-19 00:00:34,6.8,urgent,101,,True
T-67f712,A-7da956,2024-08-01 14:24:00,2024-08-04 14:24:00,72.0,urgent,109,2.0,False
T-e5cd77,A-7da956,2024-09-05 15:53:00,2024-09-06 20:39:12,28.8,urgent,83,2.0,False
T-ff17bd,A-7da956,2024-07-30 12:08:00,2024-07-31 16:51:06,28.7,urgent,174,,False
T-6eb2ef,A-7da956,2024-07-18 18:30:00,2024-07-21 18:30:00,72.0,medium,16,3.0,False
T-492865,A-7da956,2024-08-12 20:30:00,2024-08-13 11:52:43,15.4,low,80,2.0,False
T-06ffd8,A-7da956,2024-06-03 10:11:00,2024-06-05 17:48:31,55.6,high,146,,False
T-21ac2a,A-7da956,2024-09-01 14:46:00,2024-09-03 16:24:55,49.6,medium,44,,True
T-c114d5,A-e888d1,2023-08-03 10:47:00,2023-08-04 17:34:43,30.8,urgent,162,2.0,False
T-611312,A-ff3c73,2024-12-02 10:07:00,2024-12-02 22:48:59,12.7,medium,38,,False
T-ab0e65,A-ff3c73,2023-05-18 13:16:00,2023-05-19 00:50:42,11.6,medium,51,5.0,False
T-d20c59,A-ff3c73,2024-12-08 10:30:00,2024-12-08 23:23:22,12.9,low,112,,False
T-9f528e,A-544d0a,2024-09-16 13:19:00,2024-09-17 09:25:51,20.1,urgent,159,2.0,True
T-6b691e,A-544d0a,2024-10-07 17:06:00,2024-10-08 00:23:34,7.3,low,180,,False
T-bfc626,A-544d0a,2024-11-13 10:43:00,2024-11-15 11:00:24,48.3,urgent,55,2.0,False
T-e2f61b,A-69b156,2024-03-28 13:11:00,2024-03-30 05:32:36,40.4,urgent,48,,False
T-4a67ea,A-337bc1,2024-10-14 11:20:00,2024-10-17 06:22:44,67.0,high,129,,False
T-ea2025,A-337bc1,2023-12-21 08:44:00,2023-12-23 02:51:50,42.1,urgent,86,,False
T-47cca9,A-337bc1,2024-07-17 08:02:00,2024-07-17 17:21:10,9.3,urgent,69,2.0,False
T-823c49,A-337bc1,2023-10-02 08:50:00,2023-10-03 14:46:34,29.9,medium,53,3.0,True
T-1b49a3,A-337bc1,2024-06-09 17:31:00,2024-06-12 17:31:00,72.0,urgent,37,2.0,True
T-3c15d3,A-337bc1,2023-09-28 08:37:00,2023-09-29 17:08:55,32.5,low,98,,False
T-c105b0,A-337bc1,2024-11-26 10:54:00,2024-11-27 16:15:35,29.4,low,15,2.0,False
T-a1cbf7,A-337bc1,2023-10-26 15:30:00,2023-10-27 20:42:06,29.2,medium,78,4.0,False
T-9fb0cf,A-337bc1,2023-09-14 11:41:00,2023-09-16 03:40:18,40.0,urgent,122,,False
T-8f30e3,A-3a5ad8,2024-10-29 16:47:00,2024-11-01 00:45:07,56.0,urgent,136,2.0,True
T-de0a8b,A-3a5ad8,2024-03-09 08:09:00,2024-03-10 02:38:17,18.5,low,153,1.0,True
T-209d3c,A-3a5ad8,2024-12-02 13:46:00,2024-12-05 13:46:00,72.0,medium,180,,False
T-b20bb6,A-3a5ad8,2023-12-17 09:25:00,2023-12-18 22:27:03,37.0,high,180,2.0,False
T-094427,A-3a5ad8,2024-05-16 07:03:00,2024-05-18 13:48:11,54.8,urgent,71,1.0,False
T-121146,A-3a5ad8,2024-03-08 12:07:00,2024-03-10 01:10:37,37.1,low,61,,True
T-1c5a01,A-20736a,2024-05-03 18:45:00,2024-05-04 17:27:20,22.7,low,76,3.0,False
T-a5e298,A-20736a,2024-08-13 15:14:00,2024-08-14 13:22:57,22.1,medium,180,5.0,False
T-0435a2,A-c43359,2024-11-24 13:04:00,2024-11-26 12:13:56,47.2,low,128,3.0,False
T-c410ba,A-c43359,2024-11-16 07:39:00,2024-11-17 18:02:17,34.4,low,97,2.0,False
T-8080e3,A-c43359,2024-11-21 11:37:00,2024-11-21 21:47:59,10.2,high,84,,False
T-bb0702,A-c43359,2024-12-25 20:01:00,2024-12-27 04:40:41,32.7,high,100,,False
T-90d744,A-c43359,2024-11-19 17:16:00,2024-11-21 05:17:26,36.0,medium,12,4.0,False
T-50d46c,A-c43359,2024-12-29 18:27:00,2024-12-30 18:13:20,23.8,high,39,4.0,False
T-7d7df6,A-e351e1,2024-12-07 19:04:00,2024-12-08 06:32:49,11.5,high,42,2.0,False
T-076a2e,A-e351e1,2024-12-16 20:59:00,2024-12-18 07:08:55,34.2,low,180,5.0,False
T-c5146c,A-34d880,2024-06-20 15:55:00,2024-06-22 04:51:51,36.9,medium,114,2.0,False
T-d17861,A-34d880,2024-07-22 07:55:00,2024-07-23 10:58:04,27.1,low,100,,False
T-1ab38e,A-34d880,2024-06-25 18:56:00,2024-06-28 18:56:00,72.0,urgent,101,,False
T-ef9c77,A-34d880,2024-07-21 11:24:00,2024-07-22 20:38:50,33.2,medium,180,3.0,False
T-21e4f0,A-34d880,2024-06-29 17:40:00,2024-07-02 01:00:29,55.3,medium,31,,False
T-f037fb,A-34d880,2024-05-23 13:09:00,2024-05-24 02:27:26,13.3,medium,44,2.0,True
T-f79998,A-34d880,2024-04-22 19:38:00,2024-04-24 02:01:01,30.4,urgent,76,3.0,False
T-fccb8e,A-34d880,2024-05-05 14:45:00,2024-05-07 15:51:04,49.1,high,97,3.0,False
T-e2112a,A-89ee83,2024-11-12 20:51:00,2024-11-13 15:50:25,19.0,low,94,5.0,False
T-bb7961,A-89ee83,2024-12-19 20:55:00,2024-12-20 19:54:28,23.0,low,43,,False
T-80888a,A-794a0b,2024-08-19 13:07:00,2024-08-20 02:13:15,13.1,urgent,64,4.0,False
T-c39d8d,A-794a0b,2024-11-11 11:32:00,2024-11-12 06:16:49,18.7,urgent,32,3.0,True
T-6748db,A-794a0b,2023-10-13 08:08:00,2023-10-14 04:11:31,20.1,medium,54,,False
T-0b5fb9,A-702032,2023-11-07 20:47:00,2023-11-08 23:57:48,27.2,low,120,,False
T-2e9029,A-702032,2024-09-20 18:56:00,2024-09-21 02:10:18,7.2,low,20,,False
T-a7e7f9,A-702032,2024-11-26 09:48:00,2024-11-26 21:21:42,11.6,urgent,52,4.0,False
T-32324c,A-702032,2024-05-27 07:16:00,2024-05-30 07:16:00,72.0,low,104,,False
T-f5768e,A-1619f8,2024-08-29 07:39:00,2024-08-29 20:01:03,12.4,medium,40,4.0,False
T-e21d64,A-1619f8,2024-09-01 17:57:00,2024-09-04 00:21:06,54.4,medium,50,,True
T-05e778,A-1619f8,2024-12-22 10:17:00,2024-12-23 08:55:52,22.6,low,53,5.0,False
T-1daad9,A-1619f8,2024-12-05 08:58:00,2024-12-05 17:06:46,8.1,medium,26,4.0,False
T-5aed70,A-4e960a,2024-07-01 11:53:00,2024-07-04 01:50:57,62.0,low,180,3.0,False
T-b04578,A-4e960a,2024-02-29 08:07:00,2024-03-02 01:59:26,41.9,urgent,117,,False
T-499979,A-4e960a,2024-03-03 12:13:00,2024-03-06 12:13:00,72.0,urgent,151,,True
T-45edaf,A-4e960a,2024-02-18 09:00:00,2024-02-19 23:25:53,38.4,urgent,80,,False
T-b0c6a8,A-4e960a,2024-07-16 13:05:00,2024-07-17 23:44:06,34.7,high,26,2.0,False
T-2e5617,A-4e960a,2024-01-18 15:14:00,2024-01-19 19:41:50,28.5,medium,64,,False
T-26e162,A-a7bd4b,2023-11-14 08:49:00,2023-11-15 15:34:05,30.8,urgent,29,4.0,False
T-314aea,A-a7bd4b,2023-02-24 08:30:00,2023-02-27 01:52:04,65.4,medium,81,3.0,False
T-f3fb50,A-a7bd4b,2023-12-27 16:10:00,2023-12-28 21:12:54,29.0,low,28,3.0,True
T-5ad4fd,A-a7bd4b,2023-11-23 13:49:00,2023-11-26 04:41:12,62.9,low,33,,True
T-3aacd9,A-a7bd4b,2023-11-14 10:32:00,2023-11-15 01:58:26,15.4,high,71,,False
T-5fffbf,A-a7bd4b,2023-03-20 13:52:00,2023-03-21 12:05:00,22.2,medium,77,,False
T-812068,A-a7bd4b,2023-10-06 14:58:00,2023-10-07 15:24:56,24.4,urgent,53,3.0,False
T-0d0b3e,A-726cfa,2024-11-11 19:22:00,2024-11-13 19:40:49,48.3,low,93,,False
T-f8f6f4,A-726cfa,2023-12-24 08:46:00,2023-12-25 00:19:53,15.6,low,40,5.0,False
T-8a60c9,A-726cfa,2024-09-05 07:07:00,2024-09-06 23:49:51,40.7,low,180,,True
T-92949e,A-726cfa,2024-01-14 17:03:00,2024-01-16 23:27:12,54.4,urgent,104,3.0,False
T-dd7c61,A-726cfa,2023-07-22 10:09:00,2023-07-23 03:01:10,16.9,low,113,,False
T-76afd3,A-3cc791,2024-05-13 10:53:00,2024-05-15 09:00:38,46.1,urgent,41,2.0,True
T-c5dff6,A-3cc791,2024-05-21 18:19:00,2024-05-24 01:59:49,55.7,medium,40,3.0,False
T-f3fdc3,A-3cc791,2024-04-21 14:59:00,2024-04-23 20:00:09,53.0,low,53,2.0,False
T-741588,A-3cc791,2024-04-21 18:04:00,2024-04-24 18:04:00,72.0,urgent,80,3.0,True
T-7dd6b8,A-3cc791,2024-05-13 11:34:00,2024-05-16 05:09:09,65.6,urgent,75,3.0,False
T-d26017,A-3cc791,2024-01-18 16:44:00,2024-01-21 16:44:00,72.0,low,53,,False
T-959495,A-3cc791,2024-04-30 09:43:00,2024-04-30 17:21:06,7.6,low,38,2.0,False
